--- Neural Network thread ---,,,,,,,,,
methodCalled,stackUsedCurrentDelta,stackUsedMaxDelta,stackFreeCurrentDelta,stackFreeMinDelta,heapUsedCurrentDelta,heapUsedMaxDelta,heapFreeCurrentDelta,heapFreeMinDelta,Timing (ms)
in_queue.get(),0,304,0,-304,0,0,0,0,31010
runNN(),16,0,-16,0,0,0,0,0,8
,,,,,,,,,
--- Thread Main profiling ---,,,,,,,,,
methodCalled,stackUsedCurrentDelta,stackUsedMaxDelta,stackFreeCurrentDelta,stackFreeMinDelta,heapUsedCurrentDelta,heapUsedMaxDelta,heapFreeCurrentDelta,heapFreeMinDelta,Timing (ms)
ps.init(),0,304,0,-304,0,0,0,0,5
initNN(),56,32,-56,-32,0,0,0,0,0
ps.waitForFullFifo(),0,0,0,0,0,0,0,0,30970
ps.getLast32AvgPressure(),0,0,0,0,0,0,0,0,19
ps.in_queue.put(),0,0,0,0,32,0,-32,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
--- Compilation output from Miosix - ONLY MIOSIX ---,,,,,,,,,
text,data,bss,dec,hex,filename,DIFF BSS + DATA,,,
38592,1288,680,40560,9E+070,main.elf,,,,
,,,,,,,,,
--- Compilation output from Miosix - ONLY SYNCQUEUE ---,,,,,,,,,
text,data,bss,dec,hex,filename,,,,
41280,1288,720,43288,a918,main.elf,40,,,
,,,,,,,,,
--- Compilation output from Miosix - SYNCQUEUE + PS ---,,,,,,,,,
text,data,bss,dec,hex,filename,,,,
50892,1288,736,52916,   ceb4,main.elf,16,,,
,,,,,,,,,
--- Compilation output from Miosix - MIOSIX + SYNCQUEUE + PS + NN ---,,,,,,,,,
text,data,bss,dec,hex,filename,,,NN CODE + BSS + DATA,
137460,2816,848,141124,22744,main.elf,1640,86568,88208,
,,,,,,,,,
,1528,112,,,,,,,
